timestamp,bottle,species,density,measurement
20230403,b_02,Coleps_irchel,42.932968,bemovi_mag_25
20230403,b_02,Debris_and_other,14.394072,bemovi_mag_25
20230403,b_02,Paramecium_bursaria,29.972072,bemovi_mag_25
20230403,b_02,Paramecium_caudatum,269.000904,bemovi_mag_25
20230403,b_02,Stylonychia2,28.725832000000004,bemovi_mag_25
20230403,b_15,Coleps_irchel,16.948864,bemovi_mag_25
20230403,b_15,Debris_and_other,25.049424000000002,bemovi_mag_25
20230403,b_15,Paramecium_bursaria,24.363992,bemovi_mag_25
20230403,b_15,Paramecium_caudatum,352.623608,bemovi_mag_25
20230403,b_15,Stylonychia2,12.4624,bemovi_mag_25
20230403,b_20,Coleps_irchel,3.925656,bemovi_mag_25
20230403,b_20,Debris_and_other,9.284488,bemovi_mag_25
20230403,b_20,Paramecium_bursaria,37.449512,bemovi_mag_25
20230403,b_20,Paramecium_caudatum,182.26260000000002,bemovi_mag_25
20230403,b_20,Stylonychia2,18.506664,bemovi_mag_25
20230403,b_31,Coleps_irchel,26.077572,bemovi_mag_25
20230403,b_31,Debris_and_other,16.263432,bemovi_mag_25
20230403,b_31,Paramecium_bursaria,19.254408,bemovi_mag_25
20230403,b_31,Paramecium_caudatum,179.77012000000005,bemovi_mag_25
20230403,b_31,Stylonychia2,19.908684,bemovi_mag_25
20230405,b_02,Coleps_irchel,56.392360000000004,bemovi_mag_25
20230405,b_02,Debris_and_other,14.892568000000002,bemovi_mag_25
20230405,b_02,Paramecium_bursaria,28.227336,bemovi_mag_25
20230405,b_02,Paramecium_caudatum,294.548824,bemovi_mag_25
20230405,b_02,Stylonychia2,20.313712,bemovi_mag_25
20230405,b_15,Coleps_irchel,28.881612,bemovi_mag_25
20230405,b_15,Debris_and_other,16.886552000000002,bemovi_mag_25
20230405,b_15,Paramecium_bursaria,26.794159999999998,bemovi_mag_25
20230405,b_15,Paramecium_caudatum,351.875864,bemovi_mag_25
20230405,b_15,Stylonychia2,26.295664,bemovi_mag_25
20230405,b_20,Coleps_irchel,1.9628280000000002,bemovi_mag_25
20230405,b_20,Debris_and_other,11.465408,bemovi_mag_25
20230405,b_20,Paramecium_bursaria,26.451444000000002,bemovi_mag_25
20230405,b_20,Paramecium_caudatum,123.81394399999999,bemovi_mag_25
20230405,b_20,Stylonychia2,11.870436000000002,bemovi_mag_25
20230405,b_31,Debris_and_other,25.360984000000002,bemovi_mag_25
20230405,b_31,Paramecium_bursaria,20.936832,bemovi_mag_25
20230405,b_31,Paramecium_caudatum,213.044728,bemovi_mag_25
20230405,b_31,Stylonychia2,8.599056000000001,bemovi_mag_25
20230407,b_02,Coleps_irchel,39.163092000000006,bemovi_mag_25
20230407,b_02,Debris_and_other,35.20628,bemovi_mag_25
20230407,b_02,Paramecium_bursaria,41.250544,bemovi_mag_25
20230407,b_02,Paramecium_caudatum,327.075688,bemovi_mag_25
20230407,b_02,Stylonychia2,45.737008,bemovi_mag_25
20230407,b_15,Coleps_irchel,28.975080000000002,bemovi_mag_25
20230407,b_15,Debris_and_other,40.565112,bemovi_mag_25
20230407,b_15,Paramecium_bursaria,34.146976,bemovi_mag_25
20230407,b_15,Paramecium_caudatum,397.114376,bemovi_mag_25
20230407,b_15,Stylonychia2,35.019344000000004,bemovi_mag_25
20230407,b_20,Coleps_irchel,13.708640000000003,bemovi_mag_25
20230407,b_20,Debris_and_other,27.72884,bemovi_mag_25
20230407,b_20,Paramecium_bursaria,72.468856,bemovi_mag_25
20230407,b_20,Paramecium_caudatum,234.60468,bemovi_mag_25
20230407,b_20,Stylonychia2,22.494632000000003,bemovi_mag_25
20230407,b_31,Coleps_irchel,25.049424000000002,bemovi_mag_25
20230407,b_31,Debris_and_other,18.257416,bemovi_mag_25
20230407,b_31,Paramecium_bursaria,41.998288,bemovi_mag_25
20230407,b_31,Paramecium_caudatum,227.18955200000002,bemovi_mag_25
20230407,b_31,Stylonychia2,29.068548000000003,bemovi_mag_25
20230410,b_02,Coleps_irchel,25.174048,bemovi_mag_25
20230410,b_02,Debris_and_other,13.521704,bemovi_mag_25
20230410,b_02,Paramecium_bursaria,19.31672,bemovi_mag_25
